State/Territory,Total Cases,Confirmed Cases,Probable Cases,Cases in Last 7 Days,Case Rate per 100000,Total Deaths,Confirmed Deaths,Probable Deaths,Deaths in Last 7 Days,Death Rate per 100000,7-Day Cases Rate per 100000,7-Day Death Rate per 100000,Total % Positive,% Positive Last 30 Days,% Positive Last 7 Days,# Tests per 100K,Total # Tests,# Tests per 100K Last 7 Days,Total # Tests Last 7 Days,# Tests per 100K Last 30 Days,Total # Tests Last 30 Days,New Cases,New Deaths
New Hampshire,329230,0,0,1416,24213,2565,N/A,N/A,10,188,104.1,0.7,5-7.9%,10-14.9%,8-9.9%,292922.0691,4002121,1186.07,16205,6536.53,89307,222,1
New Jersey,2444707,2094994,349713,20101,27524,33896,30815,3081,85,381,226.3,1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,3070,17
New Mexico,549246,0,0,6500,26194,7869,N/A,N/A,19,375,310,0.9,15-19.9%,10-14.9%,10-14.9%,306810.2695,6462403,1999.55,42117,7896.9,166334,1127,4
New York City,2551776,2166209,385567,20916,30383,40625,35079,5546,111,483,249,1.3,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,3460,24
New York*,2969161,0,0,15394,26858,28112,N/A,N/A,59,254,139.3,0.5,5-7.9%,8-9.9%,8-9.9%,466438.9555,90194256,1987.68,384353,10993.61,2125809,2414,3
North Carolina,2826154,2351955,474199,19701,26946,25143,21907,3236,19,239,187.8,0.2,10-14.9%,15-19.9%,15-19.9%,217148.461,23019524,894.19,94792,4894.77,518886,0,0
North Dakota,247303,184516,62787,1201,32452,2287,N/A,N/A,3,300,157.6,0.4,5-7.9%,8-9.9%,10-14.9%,307949.3381,2356764,700.24,5359,2742.68,20990,759,2
Northern Mariana Islands,11482,11482,0,79,22144,34,34,0,0,59,152.4,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0
Ohio,2798900,2153853,645047,18247,23944,38657,38657,0,0,330,156.1,0,10-14.9%,10-14.9%,10-14.9%,190013.6977,22218714,684.1,79993,3214.69,375901,0,0
Oklahoma,1061792,773843,287949,5014,26834,14472,10154,4318,17,365,126.7,0.4,20-24.9%,10-14.9%,15-19.9%,106225.8103,4228619,336.22,13384,1315.82,52380,1915,17
Oregon,788128,788128,0,10428,18686,7721,7721,0,38,183,247.2,0.9,5-7.9%,8-9.9%,10-14.9%,203706.0177,8640205,1772.06,75162,10756.39,456233,1519,13
Palau,5165,0,0,39,23988,6,N/A,N/A,0,27,181.1,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0
Pennsylvania,2972356,2456520,515836,17606,23218,45552,N/A,N/A,139,355,137.5,1.1,10-14.9%,10-14.9%,10-14.9%,209895.0705,26831420,783.4,100144,4366.84,558224,2605,29
Puerto Rico,723398,348416,374982,24261,22651,4460,3693,767,40,139,759.7,1.3,10-14.9%,25% +,25% +,94726.72008,2992742,630.19,19910,4497.83,142102,4433,11
Republic of Marshall Islands,18,18,0,0,23,0,0,0,0,0,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0
Rhode Island,379142,0,0,2145,35790,3595,N/A,N/A,11,339,202.5,1,5-7.9%,8-9.9%,5-7.9%,664980.6787,7029677,2118.58,22396,11799.74,124738,366,1
South Carolina,1524771,1192116,332655,7662,29615,17995,N/A,N/A,24,349,148.8,0.5,10-14.9%,15-19.9%,20-24.9%,248331.5383,12958039,351.36,18334,2725.77,142232,0,0
South Dakota,242298,0,0,972,27389,2931,2931,0,3,331,109.9,0.3,10-14.9%,15-19.9%,15-19.9%,126301.2802,1127513,408.98,3651,1642.85,14666,972,3
Tennessee,2091206,1583452,507754,12863,30622,26555,19386,7169,47,388,188.4,0.7,10-14.9%,15-19.9%,20-24.9%,158826.5232,10938119,354.18,24392,2415.16,166328,2496,5
Texas,6958529,0,0,48265,23998,86932,N/A,N/A,56,299,166.5,0.2,10-14.9%,15-19.9%,20-24.9%,174191.9036,51144065,507.54,149018,2253.65,661690,6297,10
United States of America,85825048,47920927,8885301,719256,25851,1007960,490439,69395,1871,303,216.7,0.6,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,143007,526
Utah,962209,962209,0,7502,30013,4793,4561,232,12,149,234,0.4,10-14.9%,20-24.9%,20-24.9%,226983.8354,7376700,718.03,23335,3138.7,102004,0,0
Vermont,124994,0,0,704,20031,647,N/A,N/A,6,103,112.8,1,3-4.9%,5-7.9%,3-4.9%,632663.9897,3943692,2284.44,14240,14132.58,88095,110,6
Virgin Islands,20562,0,0,230,19345,117,N/A,N/A,2,110,216.4,1.9,10-14.9%,25% +,15-19.9%,109801.2928,114660,361.98,378,2675.6,2794,46,2
Virginia,1832648,1310258,522390,17981,21471,20450,17072,3378,10,239,210.7,0.1,10-14.9%,15-19.9%,15-19.9%,177241.3869,15226033,847.05,72766,4391.45,377250,2526,2
Washington,1622214,0,0,17957,21303,13084,N/A,N/A,64,171,235.8,0.8,N/A,N/A,N/A,195193.259,15017412,1001.1,77021,6550.41,503963,2886,21
West Virginia,524432,413227,111205,3536,29263,7016,N/A,N/A,19,391,197.3,1.1,10-14.9%,10-14.9%,10-14.9%,295210.4649,5268878,1243.17,22188,5478.81,97785,556,3
Wisconsin,1703197,1498355,204842,11220,29252,14711,13075,1636,40,252,192.7,0.7,8-9.9%,10-14.9%,10-14.9%,291749.2634,17016728,1531.96,89354,7005.85,408627,1870,12
Wyoming,162160,127813,34347,2453,28019,1824,1824,0,0,315,423.8,0,8-9.9%,10-14.9%,10-14.9%,247267.5193,1439908,719.7,4191,3246.11,18903,0,0
